|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
Display all params|4FGL J0735.0-7255 |07 35 00.7|-72 55 26|    1.3179e-10|          3.1814e-11|                4.8728|LogParabola     |                   |                            |           000|
Display all params|4FGL J2212.2-7251 |22 12 15.1|-72 51 08|    1.0262e-10|          2.1319e-11|                5.7637|PowerLaw        |                   |PMN J2211-7249              |           000|
Display all params|4FGL J0058.0-7245e|00 58 00.0|-72 45 00|    2.8069e-09|          1.0670e-10|               32.5579|PLSuperExpCutoff|1FGL J0101.3-7257  |SMC                         |           004|
Display all params|4FGL J0529.3-7243 |05 29 19.0|-72 43 59|    2.3653e-10|          3.0108e-11|               10.1334|PowerLaw        |3FGL J0529.8-7242  |PKS 0530-727                |           000|
Display all params|4FGL J1651.7-7241 |16 51 44.8|-72 41 48|    8.8545e-11|          2.7687e-11|                3.8888|PowerLaw        |                   |                            |          4096|
Display all params|4FGL J0516.1-7240 |05 16 10.3|-72 40 09|    4.0062e-10|          3.6803e-11|               14.9581|LogParabola     |                   |PKS 0517-726                |           000|
Display all params|4FGL J0601.3-7238 |06 01 18.4|-72 38 14|    1.7985e-10|          2.6558e-11|                8.9082|PowerLaw        |                   |PMN J0601-7238              |           000|
Display all params|4FGL J1236.9-7232 |12 36 56.9|-72 32 01|    2.6445e-10|          3.7549e-11|                7.7947|PowerLaw        |                   |PKS 1234-723                |           000|
Display all params|4FGL J2022.0-7224 |20 22 01.7|-72 24 34|    1.4895e-10|          3.0653e-11|               10.1642|LogParabola     |3FGL J2022.2-7220  |1RXS J202204.8-722538       |           000|
Display all params|4FGL J0534.1-7218 |05 34 10.7|-72 18 28|    1.0196e-10|          2.5512e-11|                4.0923|PowerLaw        |2FGL J0532.5-7223  |PMN J0533-7216              |           016|
Display all params|4FGL J0121.4-7216 |01 21 25.5|-72 16 49|    4.0848e-11|          1.6646e-11|                5.2103|LogParabola     |                   |                            |           000|
Display all params|4FGL J0059.7-7210 |00 59 43.0|-72 10 47|    2.1347e-10|          3.8275e-11|                6.2815|LogParabola     |                   |NGC 346                     |           016|
Display all params|4FGL J0852.2-7208 |08 52 12.3|-72 08 50|    1.1083e-10|          2.6623e-11|                4.4105|PowerLaw        |                   |                            |           004|
Display all params|4FGL J0024.0-7204 |00 24 02.0|-72 04 44|    4.5990e-09|          9.1123e-11|              106.7296|LogParabola     |3FGL J0023.9-7203  |NGC 104                     |           000|
Display all params|4FGL J1622.2-7202 |16 22 12.6|-72 02 24|    5.4317e-10|          4.4534e-11|               16.7612|LogParabola     |                   |                            |           000|
Display all params|4FGL J0040.7-7157 |00 40 46.1|-71 57 57|    1.3805e-10|          2.6446e-11|                7.7172|LogParabola     |                   |                            |           000|
Display all params|4FGL J0301.5-7156 |03 01 36.0|-71 56 27|    1.7602e-09|          5.3961e-11|               65.6098|LogParabola     |3FGL J0301.8-7157  |PKS 0301-721                |           000|
Display all params|4FGL J1349.5-7153 |13 49 30.4|-71 53 01|    2.9181e-10|          3.8849e-11|                8.5922|PowerLaw        |3FGL J1348.5-7150  |2MASS J13490974-7152510     |           000|
Display all params|4FGL J1240.4-7148 |12 40 27.8|-71 48 56|    5.5747e-10|          4.9481e-11|               20.9399|PowerLaw        |3FGL J1240.3-7149  |2MASS J12402118-7148578     |           000|
Display all params|4FGL J1536.5-6855 |15 36 35.5|-68 55 34|    1.5112e-10|          3.4381e-11|                3.9816|LogParabola     |                   |                            |           000|
Display all params|4FGL J0436.7-7148 |04 36 42.8|-71 48 05|    2.1476e-10|          2.7479e-11|                9.7934|PowerLaw        |                   |PKS 0437-719                |           000|
Display all params|4FGL J1254.9-7141 |12 54 54.4|-71 41 35|    2.8171e-10|          3.7825e-11|                8.3758|PowerLaw        |                   |PKS 1251-71                 |           000|
Display all params|4FGL J1513.2-7131 |15 13 15.6|-71 31 15|    5.3944e-10|          4.5331e-11|               16.2723|LogParabola     |                   |PMN J1512-7131              |           000|
Display all params|4FGL J1456.4-7129 |14 56 26.6|-71 29 24|    2.1018e-10|          3.8828e-11|                6.1475|LogParabola     |                   |                            |           004|
Display all params|4FGL J2002.4-7119 |20 02 24.1|-71 19 26|    2.1255e-10|          2.9656e-11|               13.2021|PowerLaw        |                   |SUMSS J200227-711940        |           000|
Display all params|4FGL J2256.4-7119 |22 56 26.1|-71 19 22|    5.9880e-11|          1.5551e-11|                8.0717|LogParabola     |                   |PMN J2256-7115              |           000|
Display all params|4FGL J2040.2-7115 |20 40 15.7|-71 15 51|    3.9139e-10|          3.3282e-11|               22.0045|PowerLaw        |3FGL J2040.2-7115  |PKS 2035-714                |           000|
Display all params|4FGL J1603.5-7112 |16 03 32.2|-71 12 36|    1.9680e-10|          3.3283e-11|                6.2935|PowerLaw        |                   |PMN J1605-7112              |           002|
Display all params|4FGL J1839.6-7107 |18 39 39.4|-71 07 27|    1.7189e-10|          3.0981e-11|                9.7872|LogParabola     |                   |PKS 1831-711                |           002|
Display all params|4FGL J0719.1-7055 |07 19 07.2|-70 55 36|    2.0763e-10|          3.4196e-11|                9.1031|LogParabola     |                   |1RXS J071910.3-705411       |           000|
