name,IAUID,ra,dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF24aacavku,SN2023ysa,12:39:15.20,-26:54:27.7,2324.0,r,17.6925,-15.62,>67.895,>0,>67.895,SN Ib,0.01,35.88466613,0.172
ZTF24aackkba,SN2024agj,02:46:58.66,-23:19:07.8,2341.61,g,15.7608,-19.50,>6.549,6.549,>0,SN Ia,0.025,-63.65169029,0.083
ZTF24aacyttg,SN2024akc,13:38:29.39,+67:01:27.1,2341.78,g,18.9159,-18.10,21.861,11.96,9.901,SN Ia,0.05680,49.45686318,0.048
ZTF24aadkvnv,SN2024bhm,10:09:09.57,-26:44:54.1,2341.92,g,17.4539,-20.80,>21.927,>6,15.927,SN Ia,0.09145,23.48325476,0.197
ZTF24aadkwol,SN2024apt,10:25:36.87,-02:12:39.2,2354.83,g,15.4292,-19.23,31.42,17.427,13.993,SN Ia,0.01850,44.24328028,0.124
ZTF24aadltss,SN2024axd,05:00:12.20,-11:20:52.2,2351.75,r,17.6823,-19.11,24.54,14.808,9.732,SN Ia,0.047,-29.78868881,0.293
ZTF24aadluoc,SN2024auh,03:02:05.51,-10:20:35.9,2340.71,g,18.205,-17.81,>19.069,>3.99,15.079,SN Ia,0.0335,-54.97839605,0.174
ZTF24aadmaqm,SN2024any,03:08:57.83,-02:56:45.9,2351.64,g,13.5833,-19.35,>21.88,>14.87,>7.01,SN Ia,0.0082,-49.19770219,0.162
ZTF24aadtzeh,SN2024bgg,05:26:36.37,-10:32:50.3,2351.75,r,18.4122,-18.96,>15.364,9.374,>5.99,SN Ia,0.05744,-23.57712998,0.46
ZTF24aaeanrr,SN2024bgs,05:13:35.69,-23:02:32.7,2358.63,r,16.9563,-19.08,>9.392,9.392,>0,SN Ia,0.036,-31.17096814,0.089
ZTF24aaehfgk,SN2024ckg,08:23:45.45,-23:13:21.5,2355.79,g,17.8865,-19.40,>24.41,>2.98,21.43,SN Ia,0.055,8.09555797,0.329
ZTF24aaeikvz,SN2024cka,09:03:51.96,-03:11:03.7,2369.82,r,18.1117,-18.90,36.794,12.82,23.974,SN Ia,0.0567,27.38941801,0.066
ZTF24aaejvcx,SN2024atk,13:18:31.13,-14:36:39.1,2354.9,r,16.8106,-16.46,>76.615,>3,73.615,SN II,0.00963,47.74656935,0.223
ZTF24aaejytl,SN2024cmb,13:07:41.69,-03:56:37.1,2355.92,g,18.3704,-19.48,>17.358,>4,13.358,SN Ia,0.081,58.68107897,0.084
ZTF24aaekazg,SN2024bqy,14:47:35.80,-19:23:17.1,2355.98,r,18.287,-16.88,>104.1,>2.01,102.09,SN II,0.023,35.63409326,0.227
ZTF24aaekphr,SN2024bqq,16:20:49.78,-14:41:37.1,2355.05,r,17.2751,-19.00,>22.14,>3.02,19.12,SN Ia,0.02253,24.21880261,1.609
ZTF24aaemydm,SN2024chx,09:54:28.51,-18:38:10.8,2357.87,g,15.6477,-18.18,27.638,3.572,24.066,SN II,0.01260,27.28739733,0.127
ZTF24aaervkt,SN2024bks,13:07:21.62,-27:22:31.2,2354.97,g,15.4245,-19.50,>24.198,>1.97,22.228,SN Ia,0.01980,35.3623238,0.223
ZTF24aaguabz,SN2024dwn,14:07:56.90,-23:11:15.6,2390.93,r,17.3383,-19.18,22.719,11.615,11.104,SN Ia,0.043,36.39777644,0.206
ZTF24aahkesn,SN2024eae,15:37:54.34,-03:51:21.8,2391.94,r,18.4142,-19.42,>11.401,>1.98,9.421,SN Ia,0.068,39.28557414,0.57
ZTF24aahmgvr,SN2024exp,09:44:01.40,-14:54:05.2,2403.75,r,17.1213,-18.65,25.135,8.305,16.83,SN Ia,0.03,28.09287145,0.249
