observations
ZTF18aaxnkos has a peak observation at 279.7
ZTF18aaxnqjb has a peak observation at 283.71
ZTF18aaxokeg has a peak observation at 616.67
ZTF18aaxqyki has a peak observation at 284.75
ZTF18aaxsioa has a peak observation at 284.76
ZTF18aaxtcdm has a peak observation at 283.73
ZTF18aaxvpsw has a peak observation at 288.73
ZTF18aaxwjmp has a peak observation at 290.7
ZTF18aaxxewy has a peak observation at 282.71
ZTF18aaxxfah has a peak observation at 273.82
ZTF18aaxxfgs has a peak observation at 291.75
ZTF18aaybfsd has a peak observation at 904.01
ZTF18aaydmkh has a peak observation at 284.82
ZTF18aaygwqd has a peak observation at 290.76
ZTF18aayiahw has a peak observation at 291.74
ZTF18aayidfz has a peak observation at 288.7
ZTF18aayiono has a peak observation at 1983.91
ZTF18aayivoq has a peak observation at 282.75
ZTF18aayivxm has a peak observation at 292.7
ZTF18aayjvve has a peak observation at 294.77
ZTF18aayjyub has a peak observation at 294.71
ZTF18aaykjei has a peak observation at 299.85
ZTF18aaykmzg has a peak observation at 276.78
ZTF18aaylbjm has a peak observation at 285.8
ZTF18aaylcvo has a peak observation at 276.8
ZTF18aaytovs has a peak observation at 295.8
ZTF18aayxupv has a peak observation at 294.73
ZTF18aayyqia has a peak observation at 1013.73
ZTF18aayyxxp has a peak observation at 278.76
ZTF18aazabmh has a peak observation at 293.76
ZTF18aazblzy has a peak observation at 290.71
ZTF18aazcoob has a peak observation at 297.74
ZTF18aazgfkq has a peak observation at 290.75
ZTF18aazhklh has a peak observation at 279.74
ZTF18aazhwnh has a peak observation at 291.76
ZTF18aazijke has a peak observation at 1436.69
ZTF18aazixbw has a peak observation at 293.7
ZTF18aazjflo has a peak observation at 1683.89
ZTF18aazjztm has a peak observation at 290.74
ZTF18aazsabq has a peak observation at 293.83
ZTF18aazxthg has a peak observation at 286.72
ZTF18abadjhx has a peak observation at 296.94
ZTF18abaeawz has a peak observation at 293.8
ZTF18abaelhi has a peak observation at 282.69
ZTF18abakjgq has a peak observation at 301.95
ZTF18abakunn has a peak observation at 828.92
